Accession	Protein_name	Database
123229245	CDW92 antigen	NCBI
31981138	Exotoses-like 2	NCBI
148689581	MCG10343, isoform CRA_c	NCBI
109506917	Heat shock protein 1	NCBI
124486805	Tomosyn	NCBI
628012	Myosin I myr 4	NCBI
124487039	Kinase D-interacting substrate of 220 kDa	NCBI
149052985	Syntaxin 8, isoform CRA_b	NCBI
33667810	Envelope polyprotein	NCBI
148709120	RIKEN cDNA 1110007C09, isoform CRA_b	NCBI
109468541	Solute carrier family 12, member 6	NCBI
148665040	Phosphatidylinositol 4-kinase, catalytic, alpha polypeptide	NCBI
60360584	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	NCBI
148707002	SEC22 vesicle trafficking protein-like 1	NCBI
34865881	Rad54 like 2	NCBI
74199222	Solute carrier family 2, member 1	NCBI
109468300	Eno1 protein	NCBI
148673899	Solute carrier family 7, member 1	NCBI
148690890	Transient receptor potential cation channel, subfamily M, member 4, isoform CRA_c	NCBI
123791153	Heparan-alpha-glucosaminide N-acetyltransferase	NCBI
34852279	Mtch1 protein	NCBI
38082564	MCG6272	NCBI
148670554	Valosin containing protein, isoform CRA_b	NCBI
148670919	Transmembrane emp24-like trafficking protein 10	NCBI
12835945	LAMP-1	NCBI
109481075	PREDICTED: similar to transcription factor 20	NCBI
74150483	Ribophorin II	NCBI
47125071	D6Wsu176e protein	NCBI
149059861	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit, isoform CRA_c	NCBI
110189715	NADH dehydrogenase subunit 1	NCBI
148679733	Cytochrome b-245, alpha polypeptide, isoform CRA_b	NCBI
37359868	Nicastrin	NCBI
148708180	MCG14318, isoform CRA_g	NCBI
148709443	Transmembrane protein 109, isoform CRA_c	NCBI
41386986	NADH dehydrogenase subunit 2	NCBI
74141534	Solute carrier family 16, member 3	NCBI
482403	Leukocyte adhesion protein beta chain precursor	NCBI
2119541	Glutamate receptor chain B	NCBI
62657172	Formin-like 1 isoform 2	NCBI
148687100	RAS-related C3 botulinum substrate 1, isoform CRA_b	NCBI
74139306	Transmembrane emp24 protein transport domain containing 9	NCBI
7433264	Heme oxygenase 2	NCBI
74185161	Proteasome 26S subunit, ATPase 3, isoform CRA_c	NCBI
82958448	PREDICTED: plexin B2 isoform 13	NCBI
6755258	RAB18, member RAS oncogene family	NCBI
74201313	Eukaryotic translation elongation factor 2	NCBI
148679892	G protein-coupled receptor 177, isoform CRA_a	NCBI
149270270	PREDICTED: hypothetical protein	NCBI
148664945	MCG123888	NCBI
109512953	PREDICTED: similar to Discs large homolog 5	NCBI
109467917	PREDICTED: similar to Neurogenic locus notch homolog protein 1 precursor	NCBI
149034095	RCG42268	NCBI
109483273	Rig-1 protein	NCBI
94381000	PREDICTED: similar to axonemal heavy chain dynein type 3	NCBI
20302065	Golgi autoantigen, golgin subfamily b, macrogolgin 1	NCBI
60360628	ATPase, aminophospholipid transporter, class I, type 8A, member 1 isoform a	NCBI
77812697	Titin isoform N2-A	NCBI
60360134	DEAH box polypeptide 8	NCBI
109474230	Chromodomain helicase DNA binding protein 4	NCBI
149253088	PREDICTED: microtubule-actin crosslinking factor 1 isoform 2	NCBI
29123082	Ribonuclease III	NCBI
123229612	Capping protein muscle Z-line, beta	NCBI
148667176	Ret proto-oncogene, isoform CRA_b	NCBI
79152841	Ctsq protein	NCBI
42475934	TPA: TPA_exp: senataxin	NCBI
149254556	PREDICTED: hypothetical protein LOC269700 isoform 1	NCBI
149025720	Similar to Pins	NCBI
109473902	PREDICTED: similar to thioredoxin reductase 3	NCBI
46048256	AVO3	NCBI
109480530	PREDICTED: similar to TATA box binding protein-associated factor, RNA polymerase II, Q	NCBI
94393420	PREDICTED: hypothetical protein	NCBI
62643808	PREDICTED: similar to nucleoporin 210kDa-like	NCBI
149037054	RCG55340	NCBI
19683974	Unknown	NCBI
94364645	PREDICTED: Cdc42 binding protein kinase alpha isoform 16	NCBI
109472135	PREDICTED: similar to SWI/SNF-related, matrix associated, actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	NCBI
148688083	Phosphoglycerate mutase family member 5, isoform CRA_a	NCBI
109483864	MCG10725, isoform CRA_b	NCBI
74214525	N-acylsphingosine amidohydrolase 1	NCBI
109496051	PREDICTED: similar to Sin3 histone deacetylase corepressor complex component SDS3	NCBI
149254055	PREDICTED: hypothetical protein	NCBI
119964714	Furry homolog-like isoform 2	NCBI
109509203	PREDICTED: similar to Bromodomain and PHD finger-containing protein 3	NCBI
149033287	Growth hormone releasing hormone receptor, isoform CRA_c	NCBI
148691770	Plasma membrane associated protein, S3-12	NCBI
118764233	Arpp21 protein	NCBI
109496031	PREDICTED: similar to thyroid hormone receptor associated protein 2	NCBI
124487309	PHD finger protein 3	NCBI
61743961	AHNAK nucleoprotein isoform 1	NCBI
6754256	Heat shock protein 9	NCBI
6678664	Alanyl aminopeptidase	NCBI
74139974	CD14 antigen	NCBI
33859588	Tyrosine-protein kinase Lyn	NCBI
7305539	Transporter 1, ATP-binding cassette, sub-family B	NCBI
148671927	ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_k	NCBI
148678316	Transporter 2, ATP-binding cassette, sub-family B, isoform CRA_b	NCBI
60360536	Sel1l protein	NCBI
114809984	Sterol O-acyltransferase 1	NCBI
120537280	C230096C10Rik protein	NCBI
74187323	MCG1035528	NCBI
148681171	Lamin B receptor	NCBI
12849790	Apolipoprotein O-like	NCBI
149022594	NADH dehydrogenase, isoform CRA_b	NCBI
11560024	Heat shock protein 1	NCBI
148667067	MCG132973, isoform CRA_a	NCBI
149255315	Gag	NCBI
74206764	Solute carrier family 25, member 1	NCBI
109458449	Rps16 protein	NCBI
148691851	Reticulon 4, isoform CRA_e	NCBI
149020944	Phosphofructokinase, platelet, isoform CRA_b	NCBI
148665530	MCG141708, isoform CRA_a	NCBI
109476367	Rps13 protein	NCBI
20846986	MCG10725, isoform CRA_b	NCBI
29747890	Atp6v0c protein	NCBI
148701560	Annexin A6, isoform CRA_b	NCBI
74191638	Ribosomal protein L3	NCBI
148687432	Transducin-like 2, isoform CRA_a	NCBI
71361655	Ribosomal protein, mitochondrial, L12	NCBI
62740082	Gpsn2 protein	NCBI
52430429	Tapasin	NCBI
34874622	Coiled-coil domain containing 115	NCBI
12846159	Ribosomal protein L14	NCBI
149250318	Chromatin modifying protein 4B	NCBI
149031663	RCG37572, isoform CRA_a	NCBI
148688797	Lectin, galactose binding, soluble 3, isoform CRA_c	NCBI
109460972	Tripartite motif protein 28	NCBI
109468417	MCG13498, isoform CRA_c	NCBI
6755350	Ribosomal protein L10A	NCBI
148688180	MCG13607, isoform CRA_a	NCBI
148702331	MCG3218, isoform CRA_b	NCBI
148697743	RAS-related C3 botulinum substrate 2, isoform CRA_b	NCBI
74213579	Aldehyde dehydrogenase 2, mitochondrial	NCBI
34784421	Sec11a protein	NCBI
122890235	Erythrocyte protein band 4.1	NCBI
149040024	Solute carrier family 4, sodium bicarbonate cotransporter, member 7, isoform CRA_a	NCBI
149023098	Protein disulfide isomerase associated 3, isoform CRA_b	NCBI
74179167	Meg-2-like protein	NCBI
45478238	LRRGT00199	NCBI
148683989	Leucine rich repeat containing 59, isoform CRA_b	NCBI
82995190	Ribosomal protein L21	NCBI
149025846	ATP-binding cassette, sub-family D, member 3, isoform CRA_a	NCBI
7305383	Phosphatidylinositol glycan anchor biosynthesis, class N	NCBI
51243034	Oxysterol-binding protein-like protein 8 isoform a	NCBI
148670699	MCG145719	NCBI
148705042	MCG18900	NCBI
148665168	MCG129789, isoform CRA_a	NCBI
68349597	NADH dehydrogenase subunit 5	NCBI
109466453	Acyl-Coenzyme A dehydrogenase family, member 9, isoform CRA_e	NCBI
62665251	Alpha-fetoprotein enhancer-binding protein	NCBI
148677027	EPM2A interacting protein 1, isoform CRA_b	NCBI
66570879	Ndufb4 protein	NCBI
149233880	PREDICTED: GPI deacylase	NCBI
109481972	PREDICTED: similar to THAP domain containing, apoptosis associated protein 2	NCBI
85067613	T-cell receptor alpha chain	NCBI
109483920	PREDICTED: similar to alpha 3 type VI collagen isoform 1 precursor	NCBI
149265267	PREDICTED: dynein, axonemal, heavy chain 12	NCBI
148679759	MCG132921, isoform CRA_a	NCBI
109509211	PREDICTED: similar to RAS and EF hand domain containing	NCBI
123232571	Titin	NCBI
109482482	Heat shock factor protein 1	NCBI
148684620	Transient receptor potential cation channel, subfamily C, member 2, isoform CRA_a	NCBI
12849385	Annexin A2	NCBI
56205529	Clathrin, heavy polypeptide	NCBI
74150815	Alanyl aminopeptidase	NCBI
109489498	Actin beta	NCBI
148707168	NADH dehydrogenase Fe-S protein 2, isoform CRA_a	NCBI
26353478	Ribosomal protein L12	NCBI
62664637	ADP,ATP carrier protein T2	NCBI
149257623	OTTMUSG00000005300 protein	NCBI
94386657	Rpl24 protein	NCBI
149263166	Ribosomal protein, large P2, isoform CRA_b	NCBI
420269	GTP-binding protein rab10	NCBI
12833455	Signal sequence receptor 4	NCBI
148680385	ATP-binding cassette, sub-family D, member 3, isoform CRA_b	NCBI
63572172	Ribosomal protein L27a	NCBI
74198792	Ribosomal protein S10	NCBI
149267458	Melanoma antigen	NCBI
148709115	Ninjurin 1, isoform CRA_a	NCBI
74211590	Nucleolar RNA helicase 2	NCBI
149255263	Gag	NCBI
149272300	PREDICTED: similar to HL23 ribosomal protein	NCBI
74226963	RuvB-like protein 1	NCBI
149053606	Proteasome, isoform CRA_b	NCBI
90403601	Ancient ubiquitous protein	NCBI
109474252	NADH dehydrogenase 1 alpha subcomplex, 9	NCBI
62639372	ATPase, H+/K+ exchanging, gastric, alpha polypeptide, isoform CRA_b	NCBI
34869622	Psmc6 protein	NCBI
109461476	PREDICTED: similar to capicua homolog	NCBI
27688523	MCG21631	NCBI
148691502	MCG18237, isoform CRA_c	NCBI
82943174	MCG10725, isoform CRA_b	NCBI
149264343	Ferritin light chain 1	NCBI
148681191	Transmembrane protein 63a, isoform CRA_a	NCBI
148684301	MCG49127	NCBI
145207282	LOC72520 protein	NCBI
74219094	MCG15892	NCBI
74178221	Translocase of inner mitochondrial membrane 17b	NCBI
74204595	Chaperonin subunit 6a	NCBI
149045751	RCG55135, isoform CRA_a	NCBI
124487063	Myeloid/lymphoid or mixed-lineage leukemia 3	NCBI
14010835	Rous sarcoma oncogene	NCBI
49257166	4933425L03Rik protein	NCBI
148702862	Fatty acid synthase, isoform CRA_b	NCBI
148691019	Zinc finger, DHHC domain containing 13	NCBI
148674189	MCG21082	NCBI
109482915	PREDICTED: similar to Mucin-2 precursor	NCBI
149033563	RCG61305, isoform CRA_a	NCBI
149252388	PREDICTED: similar to RIKEN cDNA 2610030H06 gene	NCBI
109503121	RCG64252	NCBI
149016250	RCG62892	NCBI
149066487	RCG60064, isoform CRA_a	NCBI
148705808	Bcl3 binding protein	NCBI
148669707	MCG5693	NCBI
149051314	RCG61774	NCBI
109492050	PREDICTED: similar to Temporarily Assigned Gene name family member	NCBI
149053736	RCG34878	NCBI
148704736	Pinin	NCBI
148669490	MCG7861, isoform CRA_b	NCBI
114145790	Hypothetical protein LOC361325	NCBI
148709083	Nucleoporin 153, isoform CRA_b	NCBI
149250318	PREDICTED: similar to Zinc finger protein 341	NCBI
148680621	Zinc finger, MYND-type containing 15, isoform CRA_a	NCBI
11345242	Involucrin	NCBI
109485777	PREDICTED: similar to tau tubulin kinase 1	NCBI
149258641	Phosphoserine aminotransferase 1	NCBI
148665020	Mitogen activated protein kinase 1, isoform CRA_b	NCBI
148666717	Chaperonin subunit 7, isoform CRA_b	NCBI
6755044	PFTAIRE protein kinase 1	NCBI
148689554	Nuclear receptor subfamily 1, group H, member 4, isoform CRA_b	NCBI
109489498	Actin, gamma, cytoplasmic	NCBI
74208631	DnaK-type molecular chaperone hsp72-ps1	NCBI
31980624	T-cell, immune regulator 1	NCBI
74220199	78 kDa glucose-regulated protein	NCBI
34879021	ER lipid raft associated 2	NCBI
13385060	MCG6767, isoform CRA_a	NCBI
74191190	Flotillin 1	NCBI
149067780	Major vault protein	NCBI
109484558	Glyceraldehyde-3-phosphate dehydrogenase	NCBI
148694358	Myosin Va, isoform CRA_a	NCBI
111380592	Cytochrome c oxidase subunit II	NCBI
109479457	Voltage dependent anion channel	NCBI
89573865	Ribosomal protein L18	NCBI
149063356	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2, isoform CRA_b	NCBI
94380277	Rap 1B	NCBI
149262347	Rps16 protein	NCBI
109506972	RCG24964	NCBI
148699251	MCG18481, isoform CRA_b	NCBI
16716569	Protease, serine, 1	NCBI
86651882	Gag-pro-pol polyprotein	NCBI
149037389	Vesicle-associated membrane protein, associated protein a, isoform CRA_c	NCBI
148700820	MCG1033833	NCBI
109505989	RCG51948	NCBI
109504737	PREDICTED: similar to isoleucine-tRNA synthetase	NCBI
148692564	Serine hydroxymethyl transferase 2 (mitochondrial), isoform CRA_b	NCBI
149258501	Solute carrier family 25 (mitochondrial carrier	NCBI
149255724	PREDICTED: similar to Chain C, Structure Of The Human Exon Junction Complex With A Trapped Dead-Box Helicase Bound To Rna	NCBI
149053946	RCG35301, isoform CRA_b	NCBI
148677351	CKLF-like MARVEL transmembrane domain containing 6	NCBI
148701405	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2, isoform CRA_b	NCBI
109483777	PREDICTED: hypothetical protein	NCBI
109482461	PREDICTED: similar to Epiplakin	NCBI
149266314	PREDICTED: hypothetical protein LOC223825	NCBI
74226714	Unnamed protein product	NCBI
148683063	Guanine nucleotide binding protein, beta 1, isoform CRA_a	NCBI
58865654	Epidermal growth factor-containing fibulin-like extracellular matrix protein 1	NCBI
47847422	MFLJ00114 protein	NCBI
149260178	PREDICTED: SRY-box 14	NCBI
149268419	PREDICTED: similar to t-complex protein 10c isoform 1	NCBI
149233958	PREDICTED: similar to ciliary dynein heavy chain 7	NCBI
51948480	Mitochondrial translational initiation factor 2	NCBI
148222065	Nebulin	NCBI
109483607	PREDICTED: similar to cingulin-like 1 isoform 1	NCBI
124487117	CUB and Sushi multiple domains 3	NCBI
148694211	MCG127833	NCBI
149019069	Procollagen, type XII, alpha 1, isoform CRA_b	NCBI
149051548	RCG62362, isoform CRA_b	NCBI
148688601	MCG117386	NCBI
149257960	PREDICTED: similar to very large inducible GTPase 1	NCBI
148694038	MCG9271	NCBI
148674522	MCG123553, isoform CRA_a	NCBI
109499493	PREDICTED: similar to BMP2 inducible kinase	NCBI
109498097	RCG64381	NCBI
148702620	Envoplakin	NCBI
148673556	MCG140986	NCBI
149027629	Similar to Zfp583 protein (predicted)	NCBI
109498360	PREDICTED: similar to centromere protein F (350/400kD)	NCBI
149036580	Alstrom syndrome 1 (predicted), isoform CRA_a	NCBI
26330662	Unnamed protein product	NCBI
109484537	PREDICTED: similar to Alpha-tectorin precursor	NCBI
149260007	PREDICTED: hypothetical protein	NCBI
149062099	RCG47454, isoform CRA_a	NCBI
148707528	MCG126042	NCBI
149044097	Cdc42 binding protein kinase beta, isoform CRA_d	NCBI
1469705	Ig 3F10.C9 heavy chain	NCBI
109473370	PREDICTED: similar to PHD finger protein 8	NCBI
148702661	Mannoside acetylglucosaminyltransferase 5, isoenzyme B, isoform CRA_b	NCBI
74225394	Heat shock 70kDa protein 5 (glucose-regulated protein), isoform CRA_b	NCBI
31982474	CD36 antigen	NCBI
74192931	Calnexin	NCBI
12846591	Diaphorase 1	NCBI
148708275	Nucleolin, isoform CRA_c	NCBI
30931411	Karyopherin (importin) beta 1	NCBI
86651881	Gag-pro-pol polyprotein	NCBI
148682392	MCG13479, isoform CRA_a	NCBI
149053757	Clathrin, heavy polypeptide (Hc), isoform CRA_b	NCBI
149068840	RCG40478, isoform CRA_b	NCBI
53733398	Flot2 protein	NCBI
149049964	RCG36987	NCBI
148682011	Solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13	NCBI
12833165	Syntaxin 7	NCBI
82922494	Ribosomal protein S8	NCBI
149267524	PREDICTED: kalirin, RhoGEF kinase	NCBI
148682842	RIKEN cDNA 2510039O18	NCBI
94383772	Acidic ribosomal phosphoprotein P0	NCBI
148707002	SEC22 vesicle trafficking protein homolog B (S. cerevisiae), isoform CRA_b	NCBI
148691000	MCG19938, isoform CRA_b	NCBI
148690945	MCG132477, isoform CRA_c	NCBI
149030987	Transmembrane 9 superfamily protein member 4, isoform CRA_b	NCBI
148671920	ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_d	NCBI
148672985	REV3-like, catalytic subunit of DNA polymerase zeta RAD54 like (S. cerevisiae)	NCBI
149250878	RCG45476, isoform CRA_a	NCBI
74211830	Actinin alpha 4	NCBI
109471140	Chromatin modifying protein 4B	NCBI
148679858	RIKEN cDNA E330039K12	NCBI
77404375	Hypoxia up-regulated 1	NCBI
149067676	Syntaxin 4A (placental), isoform CRA_d	NCBI
149052151	STIP1 homology and U-Box containing protein 1, isoform CRA_b	NCBI
148683291	MCG17543, isoform CRA_a	NCBI
37361908	LRRGT00111	NCBI
149250541	Regulator of G-protein signaling 19, isoform CRA_c	NCBI
2144101	Tricarboxylate carrier	NCBI
148707119	Lymphocyte antigen 9, isoform CRA_c	NCBI
148695693	Hydroxysteroid (17-beta) dehydrogenase 12, isoform CRA_c	NCBI
149270446	PREDICTED: similar to ribosomal protein S7	NCBI
148696985	Bone marrow stromal cell antigen 2, isoform CRA_b	NCBI
149019137	Secretogranin III, isoform CRA_a	NCBI
149047100	Proteasome (prosome, macropain) subunit, beta type 1, isoform CRA_b	NCBI
149034052	RCG38543, isoform CRA_b	NCBI
148676054	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	NCBI
12849244	Transmembrane emp24 protein transport domain containing 9	NCBI
109468228	PREDICTED: similar to 26S proteasome non-ATPase regulatory subunit 14 (26S proteasome regulatory subunit rpn11) (MAD1)	NCBI
109489498	Gamma actin-like protein	NCBI
54611182	Solute carrier family 1 (neutral amino acid transporter), member 5	NCBI
94380277	MCG10748, isoform CRA_b	NCBI
149264343	MCG23169	NCBI
26354961	Gag protein	NCBI
26327721	Unnamed protein product	NCBI
74212250	MCG19938, isoform CRA_b	NCBI
148703743	MCG7547, isoform CRA_c	NCBI
148697878	ATPase, H+ transporting, lysosomal accessory protein 1, isoform CRA_a	NCBI
149064954	Solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13	NCBI
12833165	Syntaxin-7	NCBI
148708984	Signal sequence receptor, alpha	NCBI
149055919	RCG54570, isoform CRA_d	NCBI
148685680	Integrin alpha M, isoform CRA_b	NCBI
149023865	CAP, adenylate cyclase-associated protein 1 (yeast), isoform CRA_b	NCBI
74199037	MCG21656, isoform CRA_a	NCBI
74185239	Ac2-048	NCBI
148690841	Harvey rat sarcoma oncogene, subgroup R	NCBI
74204322	Unnamed protein product	NCBI
149054558	Peptidase (prosome, macropain) 26S subunit, ATPase 5, isoform CRA_d	NCBI
19882225	Arginyl-tRNA synthetase	NCBI
148702542	MCG6620, isoform CRA_c	NCBI
26328909	Unnamed protein product	NCBI
26347041	Lysosomal membrane glycoprotein 2, isoform CRA_c	NCBI
76253725	Chaperonin subunit 6a (zeta)	NCBI
148694902	MCG10591, isoform CRA_b	NCBI
30962880	Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	NCBI
71620	Actin beta	NCBI
279674	Glutamate receptor K1 precursor	NCBI
346884	Ly-9.2 antigen	NCBI
420272	GTP-binding protein rab14	NCBI
1083579	6-phosphofructokinase	NCBI
1363989	Ribosomal protein L4, cytosolic [validated]	NCBI
2920831	Ribosomal protein S2	NCBI
4104432	GES30	NCBI
6679801	SH3 and PX domains 2A	NCBI
6754536	Lectin, galactose binding, soluble 9	NCBI
6755208	Proteosome	NCBI
6978703	Carnitine palmitoyltransferase 1b	NCBI
7140942	Osteoclast-specific 116-kDa V-ATPase subunit	NCBI
7305501	Solute carrier family 25, member 10	NCBI
9256626	Phosphatidylinositol glycan anchor biosynthesis, class B	NCBI
12841787	Signal sequence receptor 4	NCBI
13399308	Related RAS viral oncogene homolog 2	NCBI
14091744	Kalirin, RhoGEF kinase	NCBI
15029719	ATPase, H+ transporting, lysosomal V0 subunit D1	NCBI
18087775	Protocadherin gamma subfamily A, 12	NCBI
18485494	Collectin sub-family member 12	NCBI
18700024	Isocitrate dehydrogenase 3, beta subunit	NCBI
21105859	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	NCBI
22094111	Solute carrier family 2, member 1	NCBI
26326037	Unnamed protein product	NCBI
26330788	Protein tyrosine kinase c-Yes	NCBI
26349813	Unnamed protein product	NCBI
26352830	Small inducible cytokine subfamily E, member 1	NCBI
26353478	MCG125679	NCBI
26353870	Alpha isoform of regulatory subunit A, protein phosphatase 2	NCBI
27370144	Guanylate binding protein family, member 6	NCBI
27689505	RAB5C, member RAS oncogene family	NCBI
27693471	PREDICTED: similar to CG10632-PA	NCBI
27730131	Poly(A) binding protein, cytoplasmic 1	NCBI
29293803	Phospholipase C beta 4	NCBI
30410942	Rpl7a protein	NCBI
30725845	AAA-ATPase TOB3	NCBI
31127299	Phospholipase A2, group VI	NCBI
31542907	Glycoprotein nmb	NCBI
31543274	Metaxin 2	NCBI
31980617	GES30	NCBI
31981679	Heat shock protein 1	NCBI
33086692	Da2-27	NCBI
33416462	A330102K23Rik protein	NCBI
33859526	Procollagen, type III, alpha 1	NCBI
33859616	REV3-like, catalytic subunit of DNA polymerase zeta RAD54 like	NCBI
34538599	NADH dehydrogenase subunit 2	NCBI
34878065	DEAH box polypeptide 15 isoform 2	NCBI
34880454	Asp	NCBI
37359752	IQ motif containing GTPase activating protein 1	NCBI
40738376	MHC class I heavy chain maturation peptide H-2D(d)	NCBI
40786463	ATPase, H+ transporting, V1 subunit D	NCBI
46237563	Transporter 2, ATP-binding cassette, sub-family B	NCBI
46358380	Zinc finger protein 646	NCBI
47087109	Superkiller viralicidic activity 2-like	NCBI
47847532	MFLJ00395 protein	NCBI
50510657	Endonuclease domain containing 1	NCBI
50510693	Adaptor protein complex AP-2, alpha 2 subunit	NCBI
50511033	Moloney leukemia virus 10	NCBI
51772187	PREDICTED: hypothetical protein	NCBI
51921379	NLR family, pyrin domain containing 4E	NCBI
55716090	Capping protein muscle Z-line, alpha 1	NCBI
56206755	Novel ENTH domain containing protein	NCBI
56269663	Ribosomal protein L32	NCBI
60360548	Dtx1 protein	NCBI
60360624	Procollagen, type III, alpha 1	NCBI
62638221	RAB32	NCBI
62639428	Teashirt zinc finger family member 3	NCBI
62646620	Actr3b protein	NCBI
62653546	Glyceraldehyde-3-phosphate dehydrogenase	NCBI
62659205	RCG42490, isoform CRA_b	NCBI
62660647	PREDICTED: similar to Huntingtin	NCBI
62660958	PREDICTED: similar to G protein-coupled receptor 75	NCBI
62662987	Procollagen, type IV, alpha 1, isoform CRA_a	NCBI
63531110	Ribosomal protein S2	NCBI
68235756	Endonuclease/reverse transcriptase	NCBI
68342017	Membrane targeting C2 domain containing 1	NCBI
68534736	Arts1 protein	NCBI
70995287	Calcineurin binding protein 1	NCBI
71060047	Nras	NCBI
71534019	Trps1 protein	NCBI
71834683	Ankyrin repeat domain 12	NCBI
74141990	MCG119680, isoform CRA_a	NCBI
74143591	Coagulation factor XIII beta subunit	NCBI
74144071	Unnamed protein product	NCBI
74151899	Platelet glycoprotein 4	NCBI
74152765	Cytochrome b-245 light chain	NCBI
74177974	Actin-related protein 2/3 complex subunit 5	NCBI
74179095	AGP7	NCBI
74183811	Anxa1	NCBI
74183928	Solute carrier family 16, member 1	NCBI
74185239	RAB1B, member RAS oncogene family	NCBI
74188586	Kinesin family member 1A	NCBI
74191803	Unnamed protein product	NCBI
74192898	ATPase, Na+/K+ transporting, alpha 1 polypeptide, isoform CRA_a	NCBI
74193793	Proteasome subunit, alpha type 2	NCBI
74195497	Unnamed protein product	NCBI
74198647	Chloride intracellular channel 1	NCBI
74204209	Chaperonin subunit 4	NCBI
74204546	Transmembrane 9 superfamily member 2	NCBI
74205189	Unnamed protein product	NCBI
74207508	Unnamed protein product	NCBI
74212071	Ribosomal protein L10	NCBI
74212698	Unnamed protein product	NCBI
74213619	Unnamed protein product	NCBI
74217216	Unnamed protein product	NCBI
74226815	Capping protein muscle Z-line, alpha 1	NCBI
74315967	Ankyrin repeat domain 53	NCBI
75677563	Ankyrin repeat domain 15	NCBI
75905481	Dynein, axonemal, heavy polypeptide 1	NCBI
76826893	Carbohydrate sulfotransferase 9	NCBI
82881899	MCG13926	NCBI
82892305	Interferon induced transmembrane protein 2	NCBI
82894566	PREDICTED: hypothetical protein	NCBI
82897442	PREDICTED: centaurin, delta 1 isoform 1	NCBI
82907597	PREDICTED: ubiquitin specific protease 31	NCBI
82943174	PREDICTED: similar to hCG1640785	NCBI
82995771	PREDICTED: laminin, alpha 3 isoform 1	NCBI
86355512	Centrosomal protein 2	NCBI
94374305	PREDICTED: membrane associated guanylate kinase, WW and PDZ domain containing 2 isoform 2	NCBI
94374465	PREDICTED: similar to homeodomain protein Sax2	NCBI
94383859	PREDICTED: similar to KIAA1858 protein	NCBI
94388799	Proteasome subunit, alpha type 5	NCBI
94404913	Synaptopodin	NCBI
109457518	PREDICTED: similar to retinoic acid early transcript 1L	NCBI
109458249	MCG2069	NCBI
109458269	RCG54633	NCBI
109459001	ADAMTS-like 3, isoform CRA_a	NCBI
109459533	PREDICTED: similar to Antigen KI-67	NCBI
109459795	PREDICTED: similar to Ribosomal protein S6 kinase alpha 4	NCBI
109459980	RCG47218	NCBI
109460191	PREDICTED: similar to programmed cell death protein 11	NCBI
109460304	Attractin-like 1	NCBI
109462038	PREDICTED: similar to hect 2	NCBI
109462323	Filamin-A	NCBI
109463352	PREDICTED: hypothetical protein	NCBI
109463807	PREDICTED: similar to HECT domain containing 2	NCBI
109464251	PREDICTED: similar to mutS homolog 3	NCBI
109464747	ATPase, Class VI, type 11B	NCBI
109464786	PREDICTED: similar to FAT tumor suppressor homolog 4	NCBI
109465072	Ash1	NCBI
109465895	RCG44770	NCBI
109466659	RCG50042	NCBI
109466998	RCG62678	NCBI
109467248	PREDICTED: similar to B-cell CLL/lymphoma 9	NCBI
109467463	Vav 3 oncogene isoform 1	NCBI
109468078	PREDICTED: similar to ciliary rootlet coiled-coil, rootletin	NCBI
109468177	PREDICTED: similar to Telomere-associated protein RIF1	NCBI
109468800	PREDICTED: similar to Vinculin	NCBI
109469079	PREDICTED: similar to Vomeromodulin	NCBI
109469364	PREDICTED: similar to collagen-like protein	NCBI
109469520	Euchromatic histone methyltransferase 1	NCBI
109470142	Titin	NCBI
109472472	Arpc4 protein	NCBI
109472936	MCG120101, isoform CRA_b	NCBI
109473230	Plexin-A4 precursor	NCBI
109475545	Lymphocyte protein tyrosine kinase	NCBI
109476036	PREDICTED: similar to DEP domain containing 2 isoform a	NCBI
109476095	Son cell proliferation protein, isoform CRA_a	NCBI
109478164	PREDICTED: similar to CG2747-PB, isoform B	NCBI
109478589	MCG18581, isoform CRA_b	NCBI
109478643	PREDICTED: similar to DVL-binding protein DAPLE	NCBI
109478729	PREDICTED: similar to pre-mRNA splicing factor-like	NCBI
109479028	PREDICTED: similar to RIKEN cDNA C920006C10	NCBI
109480505	PREDICTED: similar to neuron navigator 3	NCBI
109480565	PREDICTED: hypothetical protein	NCBI
109481135	PREDICTED: plexin B2 isoform 13	NCBI
109481160	PREDICTED: similar to leucine-rich repeat kinase 2	NCBI
109481869	PREDICTED: similar to FYVE, RhoGEF and PH domain containing 6	NCBI
109482945	Type II keratin Kb15	NCBI
109483673	PREDICTED: similar to vacuolar protein sorting 13C protein isoform 1A	NCBI
109483825	RCG25308	NCBI
109484098	RCG25764, isoform CRA_a	NCBI
109485579	Peroxisomal 3-ketoacyl-CoA thiolase B	NCBI
