Accession	Gene_name	Protein_name
Q12955	ANK3	Ankyrin-3
Q13129	RLF	Zinc finger protein Rlf
Q13144	EIF2B5;EIF2BE	Translation initiation factor eIF-2B subunit epsilon
Q13147	ABI2; ARGBPIA	Abl interactor 2
Q13148	TARDBP;TDP43	TAR DNA-binding protein 43
Q13188	STK3;KRS1;MST2	Serine/threonine-protein kinase 3
Q13200	PSMD2;TRAP2	26S proteasome non-ATPase regulatory subunit 2
Q13203	MYBPH	Myosin-binding protein H
Q13263	TRIM28;KAP1;RNF96;TIF1B	Transcription intermediary factor 1-beta
Q13402	MYO7A;USH1B	Unconventional myosin-VIIa
Q13423	NNT	NAD(P) transhydrogenase, mitochondrial
Q13432	UNC119;RG4	Protein unc-119 homolog A
Q13444	ADAM15;MDC15	Disintegrin and metalloproteinase domain-containing protein 15
Q13488	TCIRG1;ATP6N1C;ATP6V0A3	V-type proton ATPase 116 kDa subunit a isoform 3
Q13492	PICALM;CALM	Phosphatidylinositol-binding clathrin assembly protein
Q13501	SQSTM1;ORCA;OSIL	Sequestosome-1
Q13509	TUBB3;TUBB4	Tubulin beta-3 chain
Q13557	CAMK2D;CAMKD	Calcium/calmodulin-dependent protein kinase type II subunit delta
Q13637	RAB32	Ras-related protein Rab-32
Q13727	NA	AHNAK-related protein
Q13748	TUBA3C;TUBA2;TUBA3D	Tubulin alpha-3C/D chain
Q13813	SPTAN1;NEAS;SPTA2	Spectrin alpha chain, non-erythrocytic 1
Q14126	DSG2;CDHF5	Desmoglein-2
Q14155	ARHGEF7;COOL1;KIAA0142;P85SPR;PAK3BP;PIXB;Nbla10314	Rho guanine nucleotide exchange factor 7
Q14156	EFR3A;KIAA0143	Protein EFR3 homolog A
Q14165	MLEC;KIAA0152	Malectin
Q14204	DYNC1H1;DHC1;DNCH1;DNCL;DNECL;DYHC;KIAA0325	Cytoplasmic dynein 1 heavy chain 1
Q14250	PDLIM7; ENIGMA	PDZ and LIM domain protein 7
Q14254	FLOT2;ESA1;M17S1	Flotillin-2
Q14257	RCN2;ERC55	Reticulocalbin-2
Q14289	PTK2B;FAK2;PYK2;RAFTK	Protein-tyrosine kinase 2-beta
Q14344	GNA13	Guanine nucleotide-binding protein subunit alpha-13
Q14571	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2
Q14573	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3
Q14679	TTLL4;KIAA0173	Tubulin polyglutamylase TTLL4
Q14690	PDCD11;KIAA0185	Protein RRP5 homolog
Q14847	LASP1;MLN50	LIM and SH3 domain protein 1
Q14863	POU6F1;BRN5;MPOU;TCFB1	POU domain, class 6, transcription factor 1
Q15020	SART3;KIAA0156;TIP110	Squamous cell carcinoma antigen recognized by T-cells 3
Q15075	EEA1;ZFYVE2	Early endosome antigen 1
Q15149	PLEC;PLEC1	Plectin
Q15165	PON2	Serum paraoxonase/arylesterase 2
Q15286	RAB35;RAB1C;RAY	Ras-related protein Rab-35
Q15293	RCN1;RCN	Reticulocalbin-1
Q15311	RALBP1;RLIP1;RLIP76	RalA-binding protein 1
Q15347	RRAGA	Ras-related GTP-binding protein A
Q15348	RRAGB	Ras-related GTP-binding protein B
Q15365	PCBP1	Poly(rC)-binding protein 1
Q15366	PCBP2	Poly(rC)-binding protein 2
Q15380	NA	RNA binding motif protein, Y chromosome, family 2 member B
Q15388	TOMM20;KIAA0016	Mitochondrial import receptor subunit TOM20 homolog
Q15751	HERC1	Probable E3 ubiquitin-protein ligase HERC1
Q15834	CCDC85B;DIPA	Coiled-coil domain-containing protein 85B
Q15904	ATP6AP1;ATP6IP1;ATP6S1;VATPS1;XAP3	V-type proton ATPase subunit S1
Q15907	RAB11B;YPT3	Ras-related protein Rab-11B
Q15942	ZYX	Zyxin
Q16352	INA;NEF5	Alpha-internexin
Q16643	DBN1;D0S117E	Drebrin
Q16670	ZSCAN26;ZNF187	Zinc finger and SCAN domain-containing protein 26
Q16795	NDUFA9;NDUFS2L	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial
Q16864	ATP6V1F;ATP6S14;VATF	V-type proton ATPase subunit F
Q16891	IMMT;HMP;MINOS2;PIG4;PIG52	Mitochondrial inner membrane protein
Q7Z2G2	ISG15; G1P2; UCRP	Ubiquitin-like protein ISG15
Q7Z2L3	CGNL1; JACOP; KIAA1749	Cingulin-like protein 1
Q7Z7G8	VPS13B;CHS1;COH1;KIAA0532	Vacuolar protein sorting-associated protein 13B
Q86SJ2	AMIGO2;ALI1	Amphoterin-induced protein 2
Q86WC6	PPP1R27;DYSFIP1	Protein phosphatase 1 regulatory subunit 27
Q86WI1	PKHD1L1	Fibrocystin-L
Q86XW6	NA	AngRem104
Q86Y39	NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11
Q86YS1	TTLL7	Tubulin polyglutamylase TTLL7
Q8IUF9	CSGALNACT1; CHGN; GALNACT1	Chondroitin sulfate N-acetylgalactosaminyltransferase 1
Q8IVG4	FAM208B; C10orf18; KIAA2006	Protein FAM208B
Q8IWV2	CNTN4	Contactin-4
Q8IXA4	GPR126; DREG; VIGR	G-protein coupled receptor 126
Q8IXQ8	PDZD9;C16orf65	PDZ domain-containing protein 9
Q8IXX1	ARHGAP15	Rho GTPase-activating protein 15
Q8IYA6	CKAP2L	Cytoskeleton-associated protein 2-like
Q8IYB3	SRRM1;SRM160	Serine/arginine repetitive matrix protein 1
Q8IYS2	KIAA2013	Uncharacterized protein KIAA2013
Q8IYT0	DNER; BET	Delta and Notch-like epidermal growth factor-related receptor
Q8IZD5	SLC22A16; OCT6	Solute carrier family 22 member 16
Q8N1P4	ZRANB3	DNA annealing helicase and endonuclease ZRANB3
Q8N274	NA	cDNA FLJ33834 fis, clone CTONG2004264, moderately similar to NEUROBLAST DIFFERENTIATION ASSOCIATED PROTEIN AHNAK
Q8N2I5	NA	cDNA FLJ90577 fis, clone OVARC1002058, highly similar to Human 18S rRNA
Q8N2Q7	NLGN1;KIAA1070	Neuroligin-1
Q8N3C7	CLIP4;RSNL2	CAP-Gly domain-containing linker protein 4
Q8N3L0	TEX2; KIAA1738; TMEM96	Testis-expressed sequence 2 protein
Q8N3R9	MPP5	MAGUK p55 subfamily member 5
Q8N3T6	TMEM132C	Transmembrane protein 132C
Q8N428	GALNT16;GALNTL1;KIAA1130	Polypeptide N-acetylgalactosaminyltransferase 16
Q8N4H8	SMTN; SMSMO	Smoothelin
Q8N511	TMEM199;C17orf32	Transmembrane protein 199
Q8N5A9	RASSF4	Ras association domain-containing protein 4
Q8N5C6	SRBD1	S1 RNA-binding domain-containing protein 1
Q8N7D2	C14orf177	Putative uncharacterized protein C14orf177
Q8N7L5	RSPO1	R-spondin-1
Q8N878	FRMD1	FERM domain-containing protein 1
Q8N8B1	LRRC75B; C22orf36; FAM211B	Leucine-rich repeat-containing protein 75B
Q8N8Q5	NA	cDNA FLJ39005 fis, clone NT2RI2024496 (HCG2008721)
Q8N8Y2	ATP6V0D2	V-type proton ATPase subunit d 2
Q8N9V8	PIWIL4; HIWI2; PIWI	Piwi-like protein 4
Q8NA19	L3MBTL4	Lethal
Q8NB66	UNC13C	Protein unc-13 homolog C
Q8NBC1	DOK7; C4orf25	Protein Dok-7
Q8NBJ3	CCDC142	Coiled-coil domain-containing protein 142
Q8NBU5	ATAD1;FNP001	ATPase family AAA domain-containing protein 1
Q8NCN3	TTC21B; KIAA1992	Tetratricopeptide repeat protein 21B
Q8NCN4	RNF169;KIAA1991	E3 ubiquitin-protein ligase RNF169
Q8NDG7	DKFZp434N1720	Putative uncharacterized protein DKFZp434N1720
Q8NDK8	ZNF541	Zinc finger protein 541
Q8NDY7	TRPV4; VRL2; VROAC	Transient receptor potential cation channel subfamily V member 4
Q8NEA6	GLIS3;ZNF515	Zinc finger protein GLIS3
Q8NEM6	ZNF318	Zinc finger protein 318
Q8NF11	FLJ00391	FLJ00391 protein
Q8NFU0	BEST4;VMD2L2	Bestrophin-4
Q8NG15	ATP6AP2; ATP6IP2; CAPER; ELDF10	Renin receptor
Q8NGS8	OR13C5	Olfactory receptor 13C5
Q8NGZ7	TAS1R1; GPR70; T1R1; TR1	Taste receptor type 1 member 1
Q8NHH9	ATL2;ARL6IP2	Atlastin-2
Q8NI29	FBXO27;FBG5;FBX27	F-box only protein 27
Q8NI77	KIF18A;OK/SW-cl.108	Kinesin-like protein KIF18A
Q8TC29	ENKUR;C10orf63	Enkurin
Q8TC32	STK36; KIAA1278	Serine/threonine-protein kinase 36
Q8TCC9	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
Q8TCT7	SPPL2B;IMP4;KIAA1532;PSL1	Signal peptide peptidase-like 2B
Q8TCZ9	PARD3; PAR3; PAR3A	Fibrocystin
Q8TDJ3	CD109; CPAMD7	CD109 antigen
Q8TE04	PANK1;PANK	Pantothenate kinase 1
Q8TE60	ADAMTS18;ADAMTS21	A disintegrin and metalloproteinase with thrombospondin motifs 18
Q8TEC1	PLCD3; KIAA1964	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3
Q8TEX2	CCNY; C10orf9; CBCP1; CFP1	Cyclin-Y
Q8TF19	CCBE1; KIAA1983	Collagen and calcium-binding EGF domain-containing protein 1
Q8WU60	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial
Q8WUN7	UBTD2;DCUBP;SB72	Ubiquitin domain-containing protein 2
Q8WV23	MYH14; KIAA2034	Myosin-14
Q8WWZ7	ABCA5;KIAA1888	ATP-binding cassette sub-family A member 5
Q8WX31	NA	Multiple PDZ domain protein
Q8WXE0	CASKIN2;KIAA1139	Caskin-2
Q8WYR1	PIK3R5	Phosphoinositide 3-kinase regulatory subunit 5
Q8WZ74	CTTNBP2;C7orf8;CORTBP2;KIAA1758	Cortactin-binding protein 2
Q8WZB3	TTN	Titin
Q92524	PSMC6; SUG2	26S protease regulatory subunit 10B
Q92608	DOCK2;KIAA0209	Dedicator of cytokinesis protein 2
Q92750	TAF4B;TAF2C2;TAFII105	Transcription initiation factor TFIID subunit 4B
Q92797	SYMPK;SPK	Symplekin
Q92804	TAF15;RBP56;TAF2N	TATA-binding protein-associated factor 2N
Q92878	RAD50	DNA repair protein RAD50
Q92884	C20orf181	Tissue plasminogen activator
Q92887	ABCC2;CMOAT;CMOAT1;CMRP;MRP2	Canalicular multispecific organic anion transporter 1
Q92896	GLG1;CFR1;ESL1;MG160	Golgi apparatus protein 1
Q92973	TNPO1;KPNB2;MIP1;TRN	Transportin-1
Q93008	USP9X;DFFRX;FAM;USP9	Probable ubiquitin carboxyl-terminal hydrolase FAF-X
Q93045	STMN2;SCG10;SCGN10	Stathmin-2
Q93050	ATP6V0A1;ATP6N1;ATP6N1A;VPP1	V-type proton ATPase 116 kDa subunit a isoform 1
Q969M2	GJA10;CX62	Gap junction alpha-10 protein
Q969T3	SNX21;C20orf161;SNXL	Sorting nexin-21
Q96A62	BEND5; C1orf165	BEN domain-containing protein 5
Q96AA2	OBSCN; KIAA1556; KIAA1639	Obscurin
Q96AT3	LRP11	LRP11 protein
Q96C12	ARMC5	Armadillo repeat-containing protein 5
Q96C19	EFHD2;SWS1	EF-hand domain-containing protein D2
Q96CN5	LRRC45	Leucine-rich repeat-containing protein 45
Q96CW5	TUBGCP3;GCP3	Gamma-tubulin complex component 3
Q96D53	ADCK4	AarF domain-containing protein kinase 4
Q96DA2	RAB39B	Ras-related protein Rab-39B
Q96EM7	NVL	Nuclear valosin-containing protein-like
Q96EQ4	NA	Golgin subfamily A member 7
Q96FT7	ASIC4;ACCN4	Acid-sensing ion channel 4
Q96G40	MPRIP; KIAA0864; MRIP; RHOIP3	Myosin phosphatase Rho-interacting protein
Q96H09	TMEM30A; C6orf67; CDC50A	Cell cycle control protein 50A
Q96H21	PCID2;hCG_2012301	HCG2012301
Q96IF6	FBF1; ALB; KIAA1863	Fas-binding factor 1
Q96J84	KIRREL;KIRREL1;NEPH1	Kin of IRRE-like protein 1
Q96JB2	COG3;SEC34	Conserved oligomeric Golgi complex subunit 3
Q96JC1	VPS39;KIAA0770;TLP;VAM6	Vam6/Vps39-like protein
Q96JG1	FNDC1; FNDC2; KIAA1866; MEL4B3	Fibronectin type III domain-containing protein 1
Q96K30	RITA1;C12orf52;RITA;PSEC0043	RBPJ-interacting and tubulin-associated protein 1
Q96K70	ITIH5; KIAA1953	Inter-alpha-trypsin inhibitor heavy chain H5
Q96KG6	MEGF11; KIAA1781	Multiple epidermal growth factor-like domains protein 11
Q96KX1	C4orf36	Uncharacterized protein C4orf36
Q96L19	LDHAL6A	L-lactate dehydrogenase
Q96LN0	BTBD16; C10orf87	BTB/POZ domain-containing protein 16
Q96LT0	NA	Coiled-coil domain-containing protein 29
Q96LW0	NA	cDNA FLJ25012 fis, clone CBL01290
Q96LX3	Slc22a30;C730048C13Rik	Protein Slc22a30
Q96M57	ENPP6	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6
Q96M86	DNHD1;C11orf47;CCDC35;DHCD1;DNHD1L;UNQ5781/PRO12970	Dynein heavy chain domain-containing protein 1
Q96MB5	ERICH6B; FAM194B	Glutamate-rich protein 6B
Q96MC0	KLHL10	Kelch-like protein 10
Q96MC7	ITFG3; C16orf9	Protein ITFG3
Q96ML0	NA	Transmembrane protein C1orf215
Q96MU2	ZNF25; KOX19	Zinc finger protein 25
Q96MV9	ZBED9; Buster4; KIAA1925; SCAND3; ZNF305P2; ZNF452	SCAN domain-containing protein 3
Q96MZ7	LRSAM1; TAL	E3 ubiquitin-protein ligase LRSAM1
Q96N13	GNPTAB; GNPTA; KIAA1208	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta
Q96N48	NA	cDNA FLJ31413 fis, clone NT2NE2000259, moderately similar to OOCYTE ZINC FINGER PROTEIN XLCOF6.1
Q96N66	MBOAT7;BB1;LENG4;OACT7	Lysophospholipid acyltransferase 7
Q96P68	OXGR1;GPR80;GPR99;P2RY15;P2Y15	2-oxoglutarate receptor 1
Q96PH3	RBBP6; P2PR; PACT; RBQ1	E3 ubiquitin-protein ligase RBBP6
Q96PX9	PLEKHG4B;KIAA1909	Pleckstrin homology domain-containing family G member 4B
Q96PZ4	GPRIN1; KIAA1893	G protein-regulated inducer of neurite outgrowth 1
Q96Q96	KIAA0287	KIAA0287 protein
Q96RR5	HCA90;TPX2;hCG_38821	Hepatocellular carcinoma-associated antigen 90
Q96S97	MYADM;UNQ553/PRO1110	Myeloid-associated differentiation marker
Q96SZ9	CIRH1A; KIAA1988; UTP4	Cirhin
Q99442	SEC62;TLOC1	Translocation protein SEC62
Q99457	NAP1L3;BNAP	Nucleosome assembly protein 1-like 3
Q99569	PKP4	Plakophilin-4
Q99623	PHB2;BAP;REA	Prohibitin-2
Q99666	RGPD5;RANBP2L1;RGP5;RGP7;RGPD7;RGPD6;RANBP2L2;RGP6	RANBP2-like and GRIP domain-containing protein 5/6
Q99714	HSD17B10;ERAB;HADH2;MRPP2;SCHAD;XH98G2	3-hydroxyacyl-CoA dehydrogenase type-2
Q99798	ACO2	Aconitate hydratase, mitochondrial
Q9BQI3	EIF2AK1;HRI;KIAA1369;PRO1362	Eukaryotic translation initiation factor 2-alpha kinase 1
Q9BQI7	PSD2	PH and SEC7 domain-containing protein 2
Q9BQY0	NA	DJ55C23.6.1 (Novel protein, isoform 1)
Q9BRP7	FDXACB1	Ferredoxin-fold anticodon-binding domain-containing protein 1
Q9BRX6	NCAPG2; LUZP5	Condensin-2 complex subunit G2
Q9BSQ9	NOA1; C4orf14	Nitric oxide-associated protein 1
Q9BSS5	CLPTM1	Cleft lip and palate transmembrane protein 1
Q9BT08	POLR3C	POLR3C protein
Q9BTV4	TMEM43;UNQ2564/PRO6244	Transmembrane protein 43
Q9BU03	ZNF576	Zinc finger protein 576
Q9BUF5	TUBB6	Tubulin beta-6 chain
Q9BUL0	SUV420H1; KMT5B	Histone-lysine N-methyltransferase SUV420H1
Q9BUL5	PHF23	PHD finger protein 23
Q9BV10	ALG12;PP14673	Dol-P-Man:Man
Q9BV73	CEP250;CEP2;CNAP1	Centrosome-associated protein CEP250
Q9BVA1	TUBB2B	Tubulin beta-2B chain
Q9BVF7	ELP3	Elongator complex protein 3
Q9BVG8	KIFC3	Kinesin-like protein KIFC3
Q9BVH6	KDM3B; C5orf7; JHDM2B; JMJD1B; KIAA1082	Lysine-specific demethylase 3B
Q9BVL2	NUPL1;KIAA0410	Nucleoporin p58/p45
Q9BVM7	FAF2; ETEA; KIAA0887; UBXD8; UBXN3B	FAS-associated factor 2
Q9BVU3	AHNAK	AHNAK protein
Q9BX44	NA	BA92K2.2 (Similar to ubiquitin)
Q9BXA9	SALL3;ZNF796	Sal-like protein 3
Q9BXP2	SLC12A9;CCC6;CIP1	Solute carrier family 12 member 9
Q9BXR2	NUB1; NYREN18	NEDD8 ultimate buster 1
Q9BXT5	TEX15	Testis-expressed sequence 15 protein
Q9BYT8	NLN;AGTBP;KIAA1226	Neurolysin, mitochondrial
Q9BYW2	SETD2;HIF1;HYPB;KIAA1732;KMT3A;SET2;HSPC069	Histone-lysine N-methyltransferase SETD2
Q9BZE0	GLIS2;NKL	Zinc finger protein GLIS2
Q9BZF1	OSBPL8;KIAA1451;ORP8;OSBP10	Oxysterol-binding protein-related protein 8
Q9BZF9	UACA;KIAA1561	Uveal autoantigen with coiled-coil domains and ankyrin repeats
Q9C061	NA	LYST-interacting protein LIP7
Q9C0B5	ZDHHC5;KIAA1748;ZNF375	Palmitoyltransferase ZDHHC5
Q9C0K7	STRADB;ALS2CR2;ILPIP;PRO1038	STE20-related kinase adapter protein beta
Q9GZX3	CHST6	Carbohydrate sulfotransferase 6
Q9GZY0	NXF2;TAPL2;NXF2B	Nuclear RNA export factor 2
Q9H0Q8	CYBRD1; DCYTB; FRRS3	Cytochrome b reductase 1
Q9H1B5	XYLT2;XT2;UNQ3058/PRO9878	Xylosyltransferase 2
Q9H1C4	UNC93B1;UNC93;UNC93B	Protein unc-93 homolog B1
Q9H1I9	ASCC3; HELIC1	Activating signal cointegrator 1 complex subunit 3
Q9H1X0	NA	DJ261G23.2.1 (Novel protein, isoform 1)
Q9H267	VPS33B	Vacuolar protein sorting-associated protein 33B
Q9H2F5	EPC1	Enhancer of polycomb homolog 1
Q9H372	hCG_2025243	HCG2025243
Q9H444	CHMP4B;C20orf178;SHAX1	Charged multivesicular body protein 4b
Q9H4B5	MCOLN1; ML4	Mucolipin-1
Q9H4L7	SMARCAD1;KIAA1122	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
Q9H655	ARL14; ARF7	ADP-ribosylation factor-like protein 14
Q9H686	NA	cDNA: FLJ22500 fis, clone HRC11301
Q9H6L9	ATG3; APG3; APG3L	Ubiquitin-like-conjugating enzyme ATG3
Q9H6Q7	CEP290; BBS14; KIAA0373; NPHP6	Centrosomal protein of 290 kDa
Q9H6Y6	MYO5B	Unconventional myosin-Vb
Q9H812	PPP1R3B; PPP1R4	Protein phosphatase 1 regulatory subunit 3B
Q9H853	TUBA4B;TUBA4	Putative tubulin-like protein alpha-4B
Q9H875	PRKRIP1	PRKR-interacting protein 1
Q9H881	NA	cDNA FLJ13885 fis, clone THYRO1001541
Q9H8S4	KANK2; ANKRD25; KIAA1518; MXRA3; SIP	KN motif and ankyrin repeat domain-containing protein 2
Q9H8U3	ZFAND3;TEX27	AN1-type zinc finger protein 3
Q9HAD4	WDR41;MSTP048	WD repeat-containing protein 41
Q9HBA1	RIMS1; KIAA0340; RAB3IP2; RIM1	Regulating synaptic membrane exocytosis protein 1
Q9HBL7	PLGRKT;C9orf46;AD025;MDS030	Plasminogen receptor
Q9HCI1	CADPS2; CAPS2; KIAA1591	Calcium-dependent secretion activator 2
Q9HCI9	TMEM132A; HSPA5BP1; KIAA1583	Transmembrane protein 132A
Q9HCK4	ROBO2;KIAA1568	Roundabout homolog 2
Q9HCM4	EPB41L5;KIAA1548	Band 4.1-like protein 5
Q9HCN2	TP53AIP1	p53-regulated apoptosis-inducing protein 1
Q9HCP0	CSNK1G1	Casein kinase I isoform gamma-1
Q9HCY8	S100A14;S100A15	Protein S100-A14
Q9HD45	TM9SF3;SMBP;UNQ245/PRO282	Transmembrane 9 superfamily member 3
Q9NP48	AGK; MULK	Acylglycerol kinase, mitochondrial
Q9NP72	RAB18	Ras-related protein Rab-18
Q9NPF8	ADAP2;CENTA2	Arf-GAP with dual PH domain-containing protein 2
Q9NQL7	NA	BA207C16.2 (Novel protein similar to C. elegans R06F6.8)
Q9NQX4	MYO5C	Unconventional myosin-Vc
Q9NRM6	IL17RB;CRL4;EVI27;IL17BR;UNQ2501/PRO19612	Interleukin-17 receptor B
Q9NS69	TOMM22;TOM22	Mitochondrial import receptor subunit TOM22 homolog
Q9NS80	TRIM49C; TRIM49L2	Tripartite motif-containing protein 49
Q9NS87	KIF15;KLP2;KNSL7	Kinesin-like protein KIF15
Q9NSI8	SAMSN1;HACS1	SAM domain-containing protein SAMSN-1
Q9NTJ3	SMC4;CAPC;SMC4L1	Structural maintenance of chromosomes protein 4
Q9NV73	NA	cDNA FLJ10890 fis, clone NT2RP4002071
Q9NVH1	DNAJC11	DnaJ homolog subfamily C member 11
Q9NVJ2	ARL8B;ARL10C;GIE1	ADP-ribosylation factor-like protein 8B
Q9NVQ6	RMDN3; FAM82A2; FAM82C; PTPIP51	Regulator of microtubule dynamics protein 3
Q9NWH7	SPATA6	Spermatogenesis-associated protein 6
Q9NWQ8	PAG1;CBP;PAG	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
Q9NWT0	LAMTOR1; C11orf59; PDRO	Ragulator complex protein LAMTOR1
Q9NWU2	GID8;C20orf11	Glucose-induced degradation protein 8 homolog
Q9NX23	LPCAT2; AGPAT11; AYTL1	Lysophosphatidylcholine acyltransferase 2
Q9NX63	CHCHD3;MINOS3	Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial
Q9NXI0	NA	cDNA FLJ20242 fis, clone COLF6369
Q9NXS2	QPCTL	Glutaminyl-peptide cyclotransferase-like protein
Q9NY59	SMPD3	Sphingomyelin phosphodiesterase 3
Q9NY82	MAP7	Ensconsin
Q9NYF6	NA	Myotonic dystrophy kinase-related CDC42-binding protein kinase alpha
Q9NYI2	THEM6; C8orf55	Protein THEM6
Q9NYQ8	FAT2;CDHF8;KIAA0811;MEGF1	Protocadherin Fat 2
Q9NZ01	TECR;GPSN2;SC2	Very-long-chain enoyl-CoA reductase
Q9NZA0	PUF60; FIR; ROBPI; SIAHBP1	Poly(U)-binding-splicing factor PUF60
Q9NZM1	MYOF;FER1L3;KIAA1207	Myoferlin
Q9P035	PTPLAD1;BIND1;HACD3	Very-long-chain
Q9P094	TMEM242; C6orf35	Transmembrane protein 242
Q9P0B8	OTUB1; OTB1; OTU1	Ubiquitin thioesterase OTUB1
Q9P0J0	NDUFA13;GRIM19;CDA016;CGI-39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
Q9P0L0	VAPA;VAP33	Vesicle-associated membrane protein-associated protein A
Q9P189	LRRC59	Leucine-rich repeat-containing protein 59
Q9P2E4	RPAP1; KIAA1403	RNA polymerase II-associated protein 1
Q9P2E9	RRBP1;KIAA1398	Ribosome-binding protein 1
Q9UBF8	PI4KB;PIK4CB	Phosphatidylinositol 4-kinase beta
Q9UBI6	GNG12	Guanine nucleotide-binding protein G subunit gamma-12
Q9UBL6	CPNE7	Copine-7
Q9UBQ6	EXTL2;EXTR2	Exostosin-like 2
Q9UBR4	LHX3	LIM/homeobox protein Lhx3
Q9UDW1	UQCR10;UCRC;HSPC119	Cytochrome b-c1 complex subunit 9
Q9UFG8	CCDC114	Coiled-coil domain-containing protein 114
Q9UFU8	MTHFD1L; FTHFSDC1	Monofunctional C1-tetrahydrofolate synthase, mitochondrial
Q9UGT4	SUSD2	Sushi domain-containing protein 2
Q9UH61	NIN; KIAA1565	Ninein
Q9UHA4	LAMTOR3;MAP2K1IP1;MAPKSP1;PRO2783	Ragulator complex protein LAMTOR3
Q9UHB6	LIMA1;EPLIN;SREBP3;PP624	LIM domain and actin-binding protein 1
Q9UHW9	SLC12A6;KCC3	Solute carrier family 12 member 6
Q9UI09	NDUFA12;DAP13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
Q9UI12	ATP6V1H;CGI-11	V-type proton ATPase subunit H
Q9UIF8	BAZ2B;KIAA1476	Bromodomain adjacent to zinc finger domain protein 2B
Q9UJ96	KCNG2;KCNF2	Potassium voltage-gated channel subfamily G member 2
Q9UJZ1	STOML2;SLP2;HSPC108	Stomatin-like protein 2, mitochondrial
Q9UK10	ZNF225	Zinc finger protein 225
Q9UKG1	APPL1;APPL;DIP13A;KIAA1428	DCC-interacting protein 13-alpha
Q9UKI7	TLK2	Serine/threonine-protein kinase tousled-like 2
Q9UKS6	PACSIN3	Protein kinase C and casein kinase substrate in neurons protein 3
Q9UKZ9	PCOLCE2;PCPE2;UNQ250/PRO287	Procollagen C-endopeptidase enhancer 2
Q9UL25	RAB21;KIAA0118	Ras-related protein Rab-21
Q9UL36	ZNF236	Zinc finger protein 236
Q9UL68	MYT1L;KIAA1106	Myelin transcription factor 1-like protein
Q9ULF5	SLC39A10;KIAA1265;ZIP10	Zinc transporter ZIP10
Q9ULH0	KIDINS220;ARMS;KIAA1250	Kinase D-interacting substrate of 220 kDa
Q9ULU4	ZMYND8;KIAA1125;PRKCBP1;RACK7	Protein kinase C-binding protein 1
Q9ULV0	MYO5B;KIAA1119	Unconventional myosin-Vb
Q9UM54	MYO6;KIAA0389	Unconventional myosin-VI
Q9UN29	CYFIP2; KIAA1168; PIR121	Cytoplasmic FMR1-interacting protein 2
Q9UN81	L1RE1;LRE1	LINE-1 retrotransposable element ORF1 protein
Q9UNM6	PSMD13	26S proteasome non-ATPase regulatory subunit 13
Q9UP95	SLC12A4;KCC1	Solute carrier family 12 member 4
Q9UPS3	LMTK2; AATYK2; BREK; KIAA1079; KPI2; LMR2	Serine/threonine-protein kinase LMTK2
Q9UPS4	CAMSAP2; CAMSAP1L1; KIAA1078	Calmodulin-regulated spectrin-associated protein 2
Q9UQL3	LSR; LISCH	Lipolysis-stimulated lipoprotein receptor
Q9UQQ1	NAALADL1;NAALADASEL;NAALADL	N-acetylated-alpha-linked acidic dipeptidase-like protein
Q9Y219	JAG2	Protein jagged-2
Q9Y277	VDAC3	Voltage-dependent anion-selective channel protein 3
Q9Y283	INVS;INV;NPHP2	Inversin
Q9Y287	ITM2B;BRI;BRI2	Integral membrane protein 2B
Q9Y2A7	NCKAP1;HEM2;KIAA0587;NAP1	Nck-associated protein 1
Q9Y2F5	KIAA0947	Uncharacterized protein KIAA0947
Q9Y2K7	KDM2A;CXXC8;FBL7;FBXL11;JHDM1A;KIAA1004	Lysine-specific demethylase 2A
Q9Y2L2	CEP162; C6orf84; KIAA1009; QN1	Centrosomal protein of 162 kDa
Q9Y2Q5	LAMTOR2;MAPBPIP;ROBLD3;HSPC003	Ragulator complex protein LAMTOR2
Q9Y317	MRPL4	39S ribosomal protein L4, mitochondrial
Q9Y377	ABHD17B; C9orf77; FAM108B1	Alpha/beta hydrolase domain-containing protein 17B
Q9Y451	PDS5B; APRIN; AS3; KIAA0979	Sister chromatid cohesion protein PDS5 homolog B
Q9Y487	ATP6V0A2	V-type proton ATPase 116 kDa subunit a isoform 2
Q9Y490	TLN1;KIAA1027;TLN	Talin-1
Q9Y4D1	DAAM1;KIAA0666	Disheveled-associated activator of morphogenesis 1
Q9Y4F1	FARP1;CDEP;PLEKHC2	FERM, RhoGEF and pleckstrin domain-containing protein 1
Q9Y4I1	MYO5A;MYH12	Unconventional myosin-Va
