Accession	Gene_name	Protein_name
P14719-1	Il1rl1 	Interleukin-1 receptor-like 1
P14733	Lmnb1	Lamin-B1
P14824	Anxa6;Anx6	Annexin A6
P14868	DARS;PIG40	Aspartate--tRNA ligase, cytoplasmic
P14869	Rplp0;Arbp	60S acidic ribosomal protein P0
P14873	Map1b;Mtap1b;Mtap5	Microtubule-associated protein 1B
P14901	Hmox1	Heme oxygenase 1
P15105	Glul;Glns	Glutamine synthetase
P15146	Map2;Mtap2	Microtubule-associated protein 2
P15331-3	Prph	Isoform 5b of Peripherin
P15379	Cd44;Ly-24	CD44 antigen
P15379-2	Cd44	Isoform 13 of CD44 antigen
P15532	Nme1;Nm23	Nucleoside diphosphate kinase A
P15535	B4galt1;Ggtb;Ggtb2	Beta-1,4-galactosyltransferase 1
P15702	Spn	Leukosialin
P15864	Hist1h1c;H1f2	Histone H1.2
P15920	Atp6v0a2;Atp6n1b;Tj6	V-type proton ATPase 116 kDa subunit a isoform 2
P15920-1	Atp6v0a2 	V-type proton ATPase 116 kDa subunit a isoform 2
P15999	Atp5a1	ATP synthase subunit alpha, mitochondrial
P16045	Lgals1;Gbp	Galectin-1
P16054	Prkce;Pkce;Pkcea	Protein kinase C epsilon type
P16110	Lgals3	Galectin-3
P16125	Ldhb;Ldh-2;Ldh2	L-lactate dehydrogenase B chain
P16330	Cnp;Cnp1	2',3'-cyclic-nucleotide 3'-phosphodiesterase
P16381	D1Pas1;Pl10	Putative ATP-dependent RNA helicase Pl10
P16435	POR;CYPOR	NADPH--cytochrome P450 reductase
P16460	Ass1;Ass	Argininosuccinate synthase
P16546	Sptan1;Spna2;Spta2	Spectrin alpha chain, non-erythrocytic 1
P16546-1	Sptan1 	Spectrin alpha chain, non-erythrocytic 1
P16546-2	Sptan1	Isoform 2 of Spectrin alpha chain, non-erythrocytic 1
P16617	Pgk1;Pgk-1	Phosphoglycerate kinase 1
P16627	Hspa1l;Hsc70t	Heat shock 70 kDa protein 1-like
P16638	Acly	ATP-citrate synthase
P16858	Gapdh;Gapd	Glyceraldehyde-3-phosphate dehydrogenase
P16884	Nefh;Nfh	Neurofilament heavy polypeptide
P17047	Lamp2;Lamp-2	Lysosome-associated membrane glycoprotein 2
P17095-1	Hmga1	Isoform HMG-Y of High mobility group protein HMG-I/HMG-Y
P17156	Hspa2;Hcp70.2;Hsp70-2	Heat shock-related 70 kDa protein 2
P17182	Eno1;Eno-1	Alpha-enolase
P17183	Eno2;Eno-2	Gamma-enolase
P17426	Ap2a1;Adtaa;Clapa1	AP-2 complex subunit alpha-1
P17426-2	Ap2a1	Isoform B of AP-2 complex subunit alpha-1
P17427	Ap2a2;Adtab	AP-2 complex subunit alpha-2
P17439	Gba	Glucosylceramidase
P17710	Hk1	Hexokinase-1
P17742	Ppia	Peptidyl-prolyl cis-trans isomerase A
P17751	Tpi1;Tpi	Triosephosphate isomerase
P17809	Slc2a1;Glut-1;Glut1	Solute carrier family 2, facilitated glucose transporter member 1
P17918	Pcna	Proliferating cell nuclear antigen
P18052	Ptpra;Lrp;Ptpa	Receptor-type tyrosine-protein phosphatase alpha
P18242	Ctsd	Cathepsin D
P18421	Psmb1	Proteasome subunit beta type-1
P18572	Bsg	Basigin
P18572-2	Bsg	Isoform 2 of Basigin
P18581-2	Slc7a2	Isoform 2 of Low affinity cationic amino acid transporter 2
P18708	NSF	Vesicle-fusing ATPase
P18760	Cfl1	Cofilin-1
P18828-2	Sdc1	Isoform 2 of Syndecan-1
P18872	Gnao1;Gna0;Gnao	Guanine nucleotide-binding protein G subunit alpha
P18872-2	Gnao1	Isoform Alpha-2 of Guanine nucleotide-binding protein G(o) subunit alpha
P18873	NA	Guanine nucleotide-binding protein G(o) subunit alpha
P19001	Krt19;Krt1-19	Keratin, type I cytoskeletal 19
P19096	Fasn	Fatty acid synthase
P19137	Lama1;Lama;Lama-1	Laminin subunit alpha-1
P19157	Gstp1;Gstpib	Glutathione S-transferase P 1
P19253	Rpl13a;P198;Tstap198-7	60S ribosomal protein L13a
P19324	Serpinh1;Cbp1;Hsp47	Serpin H1
P19332	Mapt;Mtapt;Tau	Microtubule-associated protein tau
P19378	HSPA8;HSC70	Heat shock cognate 71 kDa protein
P19511	Atp5f1;Atp5f	ATP synthase F
P19527	Nefl;Nf68;Nfl	Neurofilament light polypeptide
P19536	Cox5b	Cytochrome c oxidase subunit 5B, mitochondrial
P19643	Maob	Amine oxidase [flavin-containing] B
P19783	Cox4i1;Cox4;Cox4a	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial
P19945	Rplp0;Arbp	60S acidic ribosomal protein P0
P20029	Hspa5;Grp78	78 kDa glucose-regulated protein
P20065-2	Tmsb4x	Isoform Short of Thymosin beta-4
P20070	Cyb5r3;Dia1	NADH-cytochrome b5 reductase 3
P20152	Vim	Vimentin
P20171	Hras;Hras1	GTPase HRas
P20280	Rpl21	60S ribosomal protein L21
P20357	Map2;Mtap2	Microtubule-associated protein 2
P20444	Prkca;Pkca	Protein kinase C alpha type
P20491	Fcer1g;Fce1g	High affinity immunoglobulin epsilon receptor subunit gamma
P20788	Uqcrfs1	Cytochrome b-c1 complex subunit Rieske, mitochondrial
P20917	Mag	Myelin-associated glycoprotein
P21107-1	Tpm3 	Tropomyosin alpha-3 chain
P21107-2	Tpm3	Isoform 2 of Tropomyosin alpha-3 chain
P21278	Gna11;Gna-11	Guanine nucleotide-binding protein subunit alpha-11
P21279	Gnaq	Guanine nucleotide-binding protein G
P21283	ATP6V1C1;ATP6C;ATP6D;VATC	V-type proton ATPase subunit C 1
P21533	Rpl6	60S ribosomal protein L6
P21575	Dnm1;Dnm	Dynamin-1
P21588	Nt5e;Nt5;Nte	5'-nucleotidase
P21707	Syt1	Synaptotagmin-1
P21708	Mapk3;Erk1;Prkm3	Mitogen-activated protein kinase 3
P21796	VDAC1;VDAC	Voltage-dependent anion-selective channel protein 1
P21807	Prph;Prph1	Peripherin
P21912	SDHB;SDH;SDH1	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial
P21956	Mfge8	Lactadherin
P21956-2	Mfge8	Isoform 2 of Lactadherin
P21981	Tgm2	Protein-glutamine gamma-glutamyltransferase 2
P21995	Emb;Gp70	Embigin
P22695	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial
P22725-2	Wnt5a	Isoform 2 of Protein Wnt-5a
P23116	Eif3a;Csma;Eif3;Eif3s10	Eukaryotic translation initiation factor 3 subunit A
P23242	Gja1;Cxn-43	Gap junction alpha-1 protein
P23358	Rpl12	60S ribosomal protein L12
P23378	GLDC;GCSP	Glycine dehydrogenase
P23565	Ina;Inexa	Alpha-internexin
P23818	Gria1;Glur1	Glutamate receptor 1
P23927	Cryab;Crya2	Alpha-crystallin B chain
P24049	Rpl17	60S ribosomal protein L17
P24368	Ppib	Peptidyl-prolyl cis-trans isomerase B
P24369	Ppib	Peptidyl-prolyl cis-trans isomerase B
P24452	Capg;Mbh1	Macrophage-capping protein
P24526	Pmp2	Myelin P2 protein
P24539	ATP5F1	ATP synthase F
P24547	Impdh2	Inosine-5'-monophosphate dehydrogenase 2
P24638	Acp2	Lysosomal acid phosphatase
P24668	M6pr;46mpr	Cation-dependent mannose-6-phosphate receptor
P24752	ACAT1;ACAT;MAT	Acetyl-CoA acetyltransferase, mitochondrial
P25093	Fah	Fumarylacetoacetase
P25286	Atp6v0a1;Atp6n1;Vpp1	V-type proton ATPase 116 kDa subunit a isoform 1
P25446	Fas;Apt1;Tnfrsf6	Tumor necrosis factor receptor superfamily member 6
P25705	ATP5A1;ATP5A;ATP5AL2;ATPM	ATP synthase subunit alpha, mitochondrial
P25911	Lyn	Tyrosine-protein kinase Lyn
P25911-2	Lyn	Isoform 2 of Tyrosine-protein kinase Lyn
P26038	MSN	Moesin
P26039	Tln1;Tln	Talin-1
P26040	Ezr;Vil2	Ezrin
P26041	Msn	Moesin
P26043	Rdx	Radixin
P26051	Cd44	CD44 antigen
P26231	Ctnna1;Catna1	Catenin alpha-1
P26284	Pdha1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial
P26369	U2af2;U2af65	Splicing factor U2AF 65 kDa subunit
P26443	Glud1;Glud	Glutamate dehydrogenase 1, mitochondrial
P26645	Marcks;Macs	Myristoylated alanine-rich C-kinase substrate
P27046	Man2a1;Mana2	Alpha-mannosidase 2
P27105	STOM;BND7;EPB72	Erythrocyte band 7 integral membrane protein
P27274	Cd59	CD59 glycoprotein
P27546-1	Map4 	Microtubule-associated protein 4
P27546-3	Map4	Isoform 3 of Microtubule-associated protein 4
P27546-4	Map4	Isoform 4 of Microtubule-associated protein 4
P27573	Mpz;P0	Myelin protein P0
P27600	Gna12;Gna-12	Guanine nucleotide-binding protein subunit alpha-12
P27601	Gna13;Gna-13	Guanine nucleotide-binding protein subunit alpha-13
P27641	Xrcc5;G22p2	X-ray repair cross-complementing protein 5
P27661	H2afx;H2a.x;H2ax;Hist5-2ax	Histone H2AX
P27773	Pdia3;Erp;Erp60;Grp58	Protein disulfide-isomerase A3
P27797	CALR;CRTC	Calreticulin
P27824	CANX	Calnexin
P28063	Psmb8;Lmp7;Mc13	Proteasome subunit beta type-8
P28288	ABCD3;PMP70;PXMP1	ATP-binding cassette sub-family D member 3
P28480	Tcp1;Cct1;Ccta	T-complex protein 1 subunit alpha
P28571	Slc6a9;Glyt1	Sodium- and chloride-dependent glycine transporter 1
P28652	Camk2b;Camk2d	Calcium/calmodulin-dependent protein kinase type II subunit beta
P28653	Bgn	Biglycan
P28656	Nap1l1;Nrp	Nucleosome assembly protein 1-like 1
P28658	Atxn10;Sca10	Ataxin-10
P28660	Nckap1;Hem2;Kiaa0587;Nap1	Nck-associated protein 1
P28663	Napb;Snapb	Beta-soluble NSF attachment protein
P28667	Marcksl1;Mlp;Mrp	MARCKS-related protein
P29341	Pabpc1;Pabp1	Polyadenylate-binding protein 1
P29351	Ptpn6;Hcp;Hcph;Ptp1C	Tyrosine-protein phosphatase non-receptor type 6
P29387	Gnb4	Guanine nucleotide-binding protein subunit beta-4
P29391	Ftl1;Ftl;Ftl-1	Ferritin light chain 1
P29533-1	Vcam1 	Vascular cell adhesion protein 1
P29533-2	Vcam1	Isoform 2 of Vascular cell adhesion protein 1
P29758	Oat	Ornithine aminotransferase, mitochondrial
P30101	PDIA3;ERP57;ERP60;GRP58	Protein disulfide-isomerase A3
P30204	Msr1;Scvr	Macrophage scavenger receptor types I and II
P30275	Ckmt1	Creatine kinase U-type, mitochondrial
P30412	Ppic;Cypc	Peptidyl-prolyl cis-trans isomerase C
P30416	Fkbp4;Fkpb52	Peptidyl-prolyl cis-trans isomerase FKBP4
P30681	Hmgb2;Hmg2	High mobility group protein B2
P30825	SLC7A1;ATRC1;ERR;REC1L	High affinity cationic amino acid transporter 1
P30835	Pfkl;Pfk-l	ATP-dependent 6-phosphofructokinase, liver type
P30933	Svs5;Svp5	Seminal vesicle secretory protein 5
P30999	Ctnnd1;Catns;Kiaa0384	Catenin delta-1
P30999-2	Ctnnd1	Isoform 2 of Catenin delta-1
P31000	Vim	Vimentin
P31001	Des	Desmin
P31016	Dlg4;Dlgh4;Psd95	Disks large homolog 4
P31150	GDI1;GDIL;OPHN2;RABGDIA;XAP4	Rab GDP dissociation inhibitor alpha
P31253	NA	Ubiquitin-like modifier-activating enzyme 1
P31324	Prkar2b	cAMP-dependent protein kinase type II-beta regulatory subunit
P31428	Dpep1;Mbd1;Rdp	Dipeptidase 1
P31648	Slc6a1;Gabt1;Gat-1;Gat1	Sodium- and chloride-dependent GABA transporter 1
P31650	Slc6a11;Gabt3;Gabt4;Gat-4;Gat3;Gat4	Sodium- and chloride-dependent GABA transporter 3
P31786	Dbi	Acyl-CoA-binding protein
P31930	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial
P31948	STIP1	Stress-induced-phosphoprotein 1
P31996	Cd68	Macrosialin
P32037	Slc2a3;Glut-3;Glut3	Solute carrier family 2, facilitated glucose transporter member 3
P32322	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial
P32551	Uqcrc2	Cytochrome b-c1 complex subunit 2, mitochondrial
P32577	Csk	Tyrosine-protein kinase CSK
P32736	Opcml;Obcam	Opioid-binding protein/cell adhesion molecule
P32883	Kras;Kras2	GTPase KRas
P32883-2	Kras	Isoform 2B of GTPase KRas
P34022	Ranbp1;Htf9-a;Htf9a	Ran-specific GTPase-activating protein
P34058	Hsp90ab1;Hsp84;Hspcb	Heat shock protein HSP 90-beta
P34884	Mif	Macrophage migration inhibitory factor
P34901	Sdc4;Synd4	Syndecan-4
P34926	Map1a;Mtap1a	Microtubule-associated protein 1A
P35232	PHB	Prohibitin
P35278	Rab5c	Ras-related protein Rab-5C
P35279	Rab6a;Rab6;MNCb-1660	Ras-related protein Rab-6A
P35279-1	Rab6a 	Ras-related protein Rab-6A
P35279-2	Rab6a	Isoform 2 of Ras-related protein Rab-6A
P35282	Rab21	Ras-related protein Rab-21
P35283	Rab12	Ras-related protein Rab-12
P35293	Rab18	Ras-related protein Rab-18
P35435	Atp5c1;Atp5c	ATP synthase subunit gamma, mitochondrial
P35456-1	Plaur 	Urokinase plasminogen activator surface receptor
P35456-2	Plaur	Isoform 2 of Urokinase plasminogen activator surface receptor
P35459	Ly6d;Ly61;Thb	Lymphocyte antigen 6D
P35486	Pdha1;Pdha-1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial
P35564	Canx	Calnexin
P35565	Canx	Calnexin
P35579	MYH9	Myosin-9
P35580	MYH10	Myosin-10
P35700	Prdx1;Msp23;Paga;Tdpx2	Peroxiredoxin-1
P35762	Cd81;Tapa1	CD81 antigen
P35802	Gpm6a;M6a	Neuronal membrane glycoprotein M6-a
P35821	Ptpn1	Tyrosine-protein phosphatase non-receptor type 1
P35822	Ptprk;Ptpk	Receptor-type tyrosine-protein phosphatase kappa
P35922-10	Fmr1	Isoform ISO10 of Fragile X mental retardation protein 1 homolog
P35922-3	Fmr1	Isoform ISO3 of Fragile X mental retardation protein 1 homolog
P35979	Rpl12	60S ribosomal protein L12
P35980	Rpl18	60S ribosomal protein L18
P36371	Tap2;Abcb3;Ham-2;Ham2	Antigen peptide transporter 2
P36578	RPL4;RPL1	60S ribosomal protein L4
P36860	Ralb;Ral-b	Ras-related protein Ral-B
P36957	DLST;DLTS	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial
P37040	Por	NADPH--cytochrome P450 reductase
P37285	Klc1;Klc;Kns2	Kinesin light chain 1
P38401	GNAI1	Guanine nucleotide-binding protein G
P38402	GNAI2	Guanine nucleotide-binding protein G
P38403	GNAI3	Guanine nucleotide-binding protein G
P38445	Acvr2b;Actriib	Activin receptor type-2B
P38606	ATP6V1A;ATP6A1;ATP6V1A1;VPP2	V-type proton ATPase catalytic subunit A
P38646	HSPA9;GRP75;HSPA9B;mt-HSP70	Stress-70 protein, mitochondrial
P38647	Hspa9;Grp75;Hsp74;Hspa9a	Stress-70 protein, mitochondrial
P38650	Dync1h1;Dhc1;Dnch1;Dnchc1;Dnec1;Dyhc;Map1c	Cytoplasmic dynein 1 heavy chain 1
P39052	Dnm2;Dyn2	Dynamin-2
P39053	Dnm1;Dnm;Kiaa4093	Dynamin-1
P39054	Dnm2;Dyn2	Dynamin-2
P39061	Col18a1	Collagen alpha-1 chain
P39447	Tjp1;Zo1	Tight junction protein ZO-1
P39656	DDOST;KIAA0115;OST48;OK/SW-cl.45	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
P39688	Fyn	Tyrosine-protein kinase Fyn
P39688-1	Fyn 	Tyrosine-protein kinase Fyn
P39749	Fen1;Fen-1	Flap endonuclease 1
P40124	Cap1;Cap	Adenylyl cyclase-associated protein 1
P40142	Tkt	Transketolase
P40240	Cd9	CD9 antigen
P40307	Psmb2	Proteasome subunit beta type-2
P40939	HADHA;HADH	Trifunctional enzyme subunit alpha, mitochondrial
P41105	Rpl28	60S ribosomal protein L28
P41216	Acsl1;Acsl2;Facl2	Long-chain-fatty-acid--CoA ligase 1
P41250	GARS	Glycine--tRNA ligase
P41539-1	Tac1 	Protachykinin-1
P41562	Idh1	Isocitrate dehydrogenase [NADP] cytoplasmic
P41731	Cd63	CD63 antigen
P42123	Ldhb;Ldh-2;Ldh2	L-lactate dehydrogenase B chain
P42128	Foxk1;Mnf	Forkhead box protein K1
P42208	Sept2;Nedd-5;Nedd5	Septin-2
P42225	Stat1	Signal transducer and activator of transcription 1
P42227-2	Stat3	Isoform Stat3B of Signal transducer and activator of transcription 3
P42346	Mtor;Frap1;Raft1	Serine/threonine-protein kinase mTOR
P42567-1	Eps15 	Epidermal growth factor receptor substrate 15
P42704	LRPPRC;LRP130	Leucine-rich PPR motif-containing protein, mitochondrial
P42765	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial
P42932	Cct8;Cctq	T-complex protein 1 subunit theta
P43006	Slc1a2;Eaat2;Glt1	Excitatory amino acid transporter 2
P43007	SLC1A4;ASCT1;SATT	Neutral amino acid transporter A
P43024	Cox6a1;Cox6al	Cytochrome c oxidase subunit 6A1, mitochondrial
P43243	MATR3;KIAA0723	Matrin-3
P43274	Hist1h1e;H1f4	Histone H1.4
P43275	Hist1h1a;H1a;H1f1	Histone H1.1
P43276	Hist1h1b;H1f5	Histone H1.5
P43277	Hist1h1d;H1f3	Histone H1.3
P45591	Cfl2	Cofilin-2
P46060	RANGAP1;KIAA1835;SD	Ran GTPase-activating protein 1
P46096	Syt1	Synaptotagmin-1
P46097	Syt2	Synaptotagmin-2
P46460	Nsf;Skd2	Vesicle-fusing ATPase
P46462	Vcp	Transitional endoplasmic reticulum ATPase
P46467	Vps4b;Skd1	Vacuolar protein sorting-associated protein 4B
P46471	Psmc2;Mss1	26S protease regulatory subunit 7
P46633	HSP90AA1;HSP90A;HSPCA	Heat shock protein HSP 90-alpha
P46638	Rab11b	Ras-related protein Rab-11B
P46660	Ina	Alpha-internexin
P46935	Nedd4;Kiaa0093;Nedd-4;Nedd4-1;Nedd4a	E3 ubiquitin-protein ligase NEDD4
P46940	IQGAP1;KIAA0051	Ras GTPase-activating-like protein IQGAP1
P46978	Stt3a;Itm1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
P47738	Aldh2;Ahd-1;Ahd1	Aldehyde dehydrogenase, mitochondrial
P47753	Capza1;Cappa1	F-actin-capping protein subunit alpha-1
P47754	Capza2;Cappa2	F-actin-capping protein subunit alpha-2
P47757	Capzb;Cappb1	F-actin-capping protein subunit beta
P47757-2	Capzb	Isoform 2 of F-actin-capping protein subunit beta
P47758	Srprb	Signal recognition particle receptor subunit beta
P47791-2	Gsr	Isoform Cytoplasmic of Glutathione reductase, mitochondrial
P47819	Gfap	Glial fibrillary acidic protein
P47857	Pfkm;Pfk-m;Pfka	ATP-dependent 6-phosphofructokinase, muscle type
P47858	Pfkm;Pfk-m	ATP-dependent 6-phosphofructokinase, muscle type
P47860	Pfkp;Pfkc	ATP-dependent 6-phosphofructokinase, platelet type
P47911	Rpl6	60S ribosomal protein L6
P47955	Rplp1	60S acidic ribosomal protein P1
P47962	Rpl5	60S ribosomal protein L5
P47963	Rpl13	60S ribosomal protein L13
P48024	Eif1;Sui1;Sui1-rs1	Eukaryotic translation initiation factor 1
P48036	Anxa5;Anx5	Annexin A5
P48047	ATP5O;ATPO	ATP synthase subunit O, mitochondrial
P48410	Abcd1;Ald;Aldgh	ATP-binding cassette sub-family D member 1
P48643	CCT5;CCTE;KIAA0098	T-complex protein 1 subunit epsilon
P48651	PTDSS1;KIAA0024;PSSA	Phosphatidylserine synthase 1
P48670	VIM	Vimentin
P48675	Des	Desmin
P48678	Lmna;Lmn1	Prelamin-A/C
P48678-1	Lmna 	Prelamin-A/C
P48678-2	Lmna	Isoform C of Prelamin-A/C
P48721	Hspa9;Grp75;Hspa9a	Stress-70 protein, mitochondrial
P48722	Hspa4l;Apg1;Hsp4l;Osp94	Heat shock 70 kDa protein 4L
P48725	Pcnt;Pcnt2	Pericentrin
P48759	Ptx3;Tsg14	Pentraxin-related protein PTX3
P48771	Cox7a2;Cox7a3;Cox7al	Cytochrome c oxidase subunit 7A2, mitochondrial
P48774	Gstm5;Fsc2;Gstm3	Glutathione S-transferase Mu 5
P48794	Spam1;Ph20;Spam	Hyaluronidase PH-20
P48962	Slc25a4;Anc1;Ant1	ADP/ATP translocase 1
P49134	Itgb1	Integrin beta-1
P49242	Rps3a;Fte-1;Fte1	40S ribosomal protein S3a
P49257	LMAN1;ERGIC53;F5F8D	Protein ERGIC-53
P49282-2	Slc11a2	Isoform 1 of Natural resistance-associated macrophage protein 2
P49312-1	Hnrnpa1 	Heterogeneous nuclear ribonucleoprotein A1
P49327	FASN;FAS	Fatty acid synthase
P49432	Pdhb	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial
P49748	ACADVL;VLCAD	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial
P49769	Psen1;Ad3h;Psnl1	Presenilin-1
P49817	Cav1;Cav	Caveolin-1
P49817-1	Cav1 	Caveolin-1
P49817-2	Cav1	Isoform 2 of Caveolin-1
P50114	S100b	Protein S100-B
P50137	Tkt	Transketolase
P50153	Gng4;Gngt4	Guanine nucleotide-binding protein G subunit gamma-4
P50247	Ahcy	Adenosylhomocysteinase
P50396	Gdi1;Rabgdia	Rab GDP dissociation inhibitor alpha
P50398	Gdi1;Rabgdia	Rab GDP dissociation inhibitor alpha
P50428	Arsa;As2	Arylsulfatase A
P50516	Atp6v1a;Atp6a1;Atp6a2;Atp6v1a1	V-type proton ATPase catalytic subunit A
P50516-1	Atp6v1a 	V-type proton ATPase catalytic subunit A
P50516-2	Atp6v1a	Isoform 2 of V-type proton ATPase catalytic subunit A
P50518	Atp6v1e1;Atp6e;Atp6e2	V-type proton ATPase subunit E 1
P50543	S100a11;S100c	Protein S100-A11
P50580	Pa2g4;Ebp1;Plfap	Proliferation-associated protein 2G4
P50672	MT-CO2;COII;COXII;MTCO2	Cytochrome c oxidase subunit 2
P50878	Rpl4;Rpl1	60S ribosomal protein L4
P50990	CCT8;C21orf112;CCTQ;KIAA0002	T-complex protein 1 subunit theta
P51125-3	Cast	Isoform 3 of Calpastatin
P51148	RAB5C;RABL	Ras-related protein Rab-5C
P51150	Rab7a;Rab7	Ras-related protein Rab-7a
P51174	Acadl	Long-chain specific acyl-CoA dehydrogenase, mitochondrial
P51410	Rpl9	60S ribosomal protein L9
P51571	SSR4;TRAPD	Translocon-associated protein subunit delta
P51637	Cav3	Caveolin-3
P51655	Gpc4	Glypican-4
P51863	Atp6v0d1;Atp6d	V-type proton ATPase subunit d 1
P51881	Slc25a5;Ant2	ADP/ATP translocase 2
P52293	Kpna2;Rch1	Importin subunit alpha-1
P52296	Kpnb1	Importin subunit beta-1
P52332	Jak1	Tyrosine-protein kinase JAK1
P52480	Pkm;Pk3;Pkm2;Pykm	Pyruvate kinase PKM
P52480-1	Pkm 	Pyruvate kinase PKM
P52760	Hrsp12;Hrp12	Ribonuclease UK114
P52875	Tmem165;Tparl	Transmembrane protein 165
P52927	Hmga2;Hmgic	High mobility group protein HMGI-C
P52947	Pdx1;Ipf1	Pancreas/duodenum homeobox protein 1
P53007	SLC25A1;SLC20A3	Tricarboxylate transport protein, mitochondrial
P53026	Rpl10a;Nedd-6;Nedd6	60S ribosomal protein L10a
P53597	SUCLG1	Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial
P53657	Pklr	Pyruvate kinase PKLR
P53690	Mmp14;Mtmmp	Matrix metalloproteinase-14
P53986	Slc16a1;Mct1	Monocarboxylate transporter 1
P53994	Rab2a;Rab2	Ras-related protein Rab-2A
P54071	Idh2	Isocitrate dehydrogenase [NADP], mitochondrial
P54099	Polg;Polg1	DNA polymerase subunit gamma-1
P54116	Stom;Epb7.2;Epb72	Erythrocyte band 7 integral membrane protein
P54136	RARS	Arginine--tRNA ligase, cytoplasmic
P54227	Stmn1;Lag;Lap18;Pr22	Stathmin
P54728	Rad23b;Mhr23b	UV excision repair protein RAD23 homolog B
P54775	Psmc4;Tbp7	26S protease regulatory subunit 6B
P54886	ALDH18A1;GSAS;P5CS;PYCS	Delta-1-pyrroline-5-carboxylate synthase
P54920	NAPA;SNAPA	Alpha-soluble NSF attachment protein
P54921	Napa;Snap;Snapa	Alpha-soluble NSF attachment protein
P55012	Slc12a2;Nkcc1	Solute carrier family 12 member 2
P55068	Bcan;Behab	Brevican core protein
P55072	VCP	Transitional endoplasmic reticulum ATPase
P55088	Aqp4	Aquaporin-4
P55096	Abcd3;Pmp70;Pxmp1	ATP-binding cassette sub-family D member 3
P55258	Rab8a;Mel;Rab8	Ras-related protein Rab-8A
P55288	Cdh11;Cad-11	Cadherin-11
P56134	ATP5J2;ATP5JL	ATP synthase subunit f, mitochondrial
P56135	Atp5j2	ATP synthase subunit f, mitochondrial
P56183-2	Rrp1	Isoform 2 of Ribosomal RNA processing protein 1 homolog A
P56391	Cox6b1;Cox6b	Cytochrome c oxidase subunit 6B1
P56395	Cyb5a;Cyb5	Cytochrome b5
P56480	Atp5b	ATP synthase subunit beta, mitochondrial
P56528	Cd38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
P56564	Slc1a3;Eaat1;Gmt1	Excitatory amino acid transporter 1
P56565	S100a1	Protein S100-A1
P56695	Wfs1	Wolframin
P57716	Ncstn	Nicastrin
P57746	Atp6v1d;Atp6m;Vatd	V-type proton ATPase subunit D
P57759	Erp29	Endoplasmic reticulum resident protein 29
P57776	Eef1d	Elongation factor 1-delta
P57780	Actn4	Alpha-actinin-4
P57784	Snrpa1	U2 small nuclear ribonucleoprotein A'
P57787	Slc16a3;Mct4	Monocarboxylate transporter 4
P58021	Tm9sf2	Transmembrane 9 superfamily member 2
P58242	Smpdl3b;Asml3b	Acid sphingomyelinase-like phosphodiesterase 3b
P58252	Eef2	Elongation factor 2
P58462	Foxp1	Forkhead box protein P1
P58466	Ctdsp1;Nif3;Nliif	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1
P58681	Tlr7	Toll-like receptor 7
P58771-2	Tpm1	Isoform 2 of Tropomyosin alpha-1 chain
P58774-1	NA	NA
P59108	Cpne2	Copine-2
P59216	GNAO1;GNA0;GNAO	Guanine nucleotide-binding protein G subunit alpha
P59326	Ythdf1	YTH domain-containing family protein 1
P59729	Rin3	Ras and Rab interactor 3
P59913	Pcmtd1	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1
P59999	Arpc4;Arc20	Actin-related protein 2/3 complex subunit 4
P60060	Sec61g	Protein transport protein Sec61 subunit gamma
P60122	Ruvbl1;Tip49;Tip49a	RuvB-like 1
P60202	Plp1;Plp	Myelin proteolipid protein
P60229	Eif3e;Eif3s6;Int6	Eukaryotic translation initiation factor 3 subunit E
P60335	Pcbp1	Poly(rC)-binding protein 1
P60605	Ube2g2	Ubiquitin-conjugating enzyme E2 G2
P60710	Actb	Actin, cytoplasmic 1
P60764	Rac3	Ras-related C3 botulinum toxin substrate 3
P60766	Cdc42	Cell division control protein 42 homolog
P60766-2	Cdc42 	Cell division control protein 42 homolog
P60843	Eif4a1;Ddx2a;Eif4a	Eukaryotic initiation factor 4A-I
P60867	Rps20	40S ribosomal protein S20
P60879	Snap25;Snap	Synaptosomal-associated protein 25
P60879-1	Snap25 	Synaptosomal-associated protein 25
P60904	Dnajc5;Csp	DnaJ homolog subfamily C member 5
P61021	Rab5b	Ras-related protein Rab-5B
P61022	Chp1;Chp;Sid470	Calcineurin B homologous protein 1
P61027	Rab10	Ras-related protein Rab-10
P61028	Rab8b	Ras-related protein Rab-8B
